Rank,Country,Fertility rate in 1960 (births/woman)
1 (1),"Rwanda (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories → Rwanda)",8.19
2 (2),"Kenya (British Empire, Kenya Colony → Kenya)",7.95
3,Ivory Coast,7.69
4,Jordan,7.69
5 (3),"Samoa (United Nations trust territories, Western Samoa → Samoa)",7.65
6,Dominican Republic,7.55
7 (4),"Algeria (French Colonial Empire, French Algeria → Algeria)",7.52
8,Yemen ( North Yemen and South Yemen → Yemen),7.49
9 (5),"Angola (Portuguese Empire, Portuguese Angola → Angola",7.48
10,Syria,7.47
11,Honduras,7.46
12,Afghanistan,7.45
13,Niger,7.45
14 (6),"Tonga (British Empire, British Protectorate → Tonga)",7.36
15,Nicaragua,7.34
16,Madagascar,7.30
17,Somalia,7.25
18,Oman,7.25
19 (7),"Kuwait (British Empire, British Protectorate → Kuwait)",7.24
20 (8),Saint Vincent and the Grenadines (British Empire → Saint Vincent and the Grenadines),7.22
21,Saudi Arabia,7.22
22,Libya,7.20
23 (9),New Hebrides (British and French Condominium → Vanuatu),7.20
24 (10),"Southern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland → Zimbabwe)",7.16
25,Philippines,7.15
26 (11),"Northern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland → Zambia)",7.12
27 (12),Bahrain (British Empire → Bahrain),7.09
28,Morocco,7.04
29 (13),"Maldives (British Empire, British Protectorate → Maldives)",7.02
30 (14),Uganda (British Empire → Uganda),7.00
31,Senegal,7.00
32,Mali,6.97
33,Peru,6.97
34 (15),"Saint Lucia (British Empire, West Indies Federation → Saint Lucia)",6.97
35 (16),"Qatar (British Empire, British Protectorate → Qatar)",6.97
36,Cambodia,6.97
37 (17),"Burundi (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories → Burundi)",6.95
38 (18),"Mozambique (Portuguese Empire, Portuguese Mozambique → Mozambique)",6.95
39,Mongolia,6.95
40 (19),"Malawi (British Empire, Federation of Rhodesia and Nyasaland, Nyasaland Protectorate → Malawi)",6.94
41,Tunisia,6.94
42 (20),Micronesia (Trust Territory of the Pacific Islands → Micronesia),6.93
43 (21),"United Arab Emirates (British Empire, Trucial States → United Arab Emirates)",6.93
44,Iran,6.93
45,Guatemala,6.90
46 (22),Eritrea ( Ethiopia → Eritrea),6.90
47,Ethiopia,6.88
48 (23),"Cape Verde (Portuguese Empire, Portuguese Cape Verde → Cape Verde)",6.88
49 (24),"Brunei (British Empire, British Protectorate → Brunei)",6.84
50,Colombia,6.81
51 (25),"Tanzania (British Empire, Tanganyika and Zanzibar → Tanzania)",6.81
52 (26),Comoros (French Colonial Empire → Comoros),6.79
53 (27),"Kiribati (British Empire, Gilbert and Ellice Islands → Kiribati )",6.79
54,Mauritania,6.78
55,Mexico,6.77
56,Ghana,6.75
57,Grenada,6.74
58 (28),South Sudan ( Sudan → South Sudan),6.72
59 (29),"Bangladesh (Pakistan, East Pakistan → Bangladesh)",6.72
60,Ecuador,6.72
61 (30),Swaziland (British Empire → Swaziland),6.72
62,Egypt,6.72
63,Bolivia,6.70
64,Sudan,6.69
65,El Salvador,6.67
66,Bhutan,6.67
67,Venezuela,6.62
68 (31),"Botswana (British Empire, Bechuanaland Protectorate → Botswana)",6.62
69 (32),Suriname (Kingdom of the Netherlands → Suriname),6.61
70,Pakistan,6.60
71 (33),Turkmen SSR ( Soviet Union → Turkmenistan),6.59
72 (34),Tajik SSR ( Soviet Union → Tajikistan),6.55
73,Togo,6.52
74,Paraguay,6.50
75,Belize,6.50
76,Albania,6.49
77 (35),"Djibouti (French Colonial Empire, French Somaliland → Djibouti)",6.46
78 (36),Fiji (British Empire → Fiji),6.46
79,Costa Rica,6.45
80,Malaysia,6.45
81,Liberia,6.41
82 (37),Solomon Islands (British Empire → Solomon Islands),6.39
83 (38),"East Timor (Portuguese Empire, Portuguese Timor → East Timor)",6.37
84 (39),Guyana (British Empire → Guyana),6.37
85,Turkey,6.37
86,Nigeria,6.35
87,Vietnam ( North Vietnam and South Vietnam → Vietnam),6.35
88,Haiti,6.32
89,Republic of Upper Volta (→ Burkina Faso),6.29
90,Benin,6.28
91 (40),New Caledonia (French colonial Empire → France),6.28
92 (41),Papua and New Guinea (United Nations trust territories → Papua New Guinea,6.28
93,Chad,6.25
94,Iraq,6.25
95 (42),Uzbek SSR ( Soviet Union → Uzbekistan),6.25
96 (43),"São Tomé and Príncipe (Portuguese Empire, Portuguese Sao Tome and Principe → São Tomé and Príncipe)",6.24
97 (44),Mauritius (British Empire → Mauritius),6.17
98 (45),South West Africa ( South Africa → Namibia),6.15
99,Thailand,6.15
100 (46),Sierra Leone (British Empire → Sierra Leone),6.13
101,Guinea,6.11
102,South Korea,6.09
103,Brazil,6.07
104,Myanmar (Burma),6.05
105 (47),Guam (US),6.05
106,South Africa,6.04
107,Congo-Léopoldville (→ Zaire → DR Congo),6.00
108,Laos,5.96
109,Nepal,5.96
110 (48),"Guinea-Bissau (Portuguese Empire, Portuguese Guinea → Guinea-Bissau)",5.92
111,India,5.91
112,Congo,5.88
113 (49),Azerbaijan SSR ( Soviet Union → Azerbaijan),5.88
114,Panama,5.87
115,Central African Republic,5.84
116 (50),Lesotho (British Empire → Lesotho),5.84
117,Singapore,5.76
118,China,5.75
119,Lebanon,5.74
120,Indonesia,5.67
121 (51),French Polynesia (French Colonial Empire → France),5.66
122,Cameroon,5.65
123 (52),"Equatorial Guinea (Spanish Empire, Spanish Guinea → Equatorial Guinea)",5.65
124 (53),U.S. Virgin Islands (US),5.62
