Rank,Country,Fertility rate in 1950 (births/woman)
1,Iraq,8.11
2 (1),"Rwanda (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories → Rwanda)",7.92
3 (2),New Hebrides (British and French Condominium → Vanuatu),7.68
4 (3),"Samoa (United Nations trust territories, Western Samoa → Samoa)",7.63
5,Jordan,7.56
6,Dominican Republic,7.51
7,Honduras,7.47
8,Afghanistan,7.45
9,Philippines,7.45
10 (4),"Ivory Coast (French Colonial Empire, French West Africa, French Ivory Coast → Ivory Coast",7.38
11,Yemen ( North Yemen and South Yemen → Yemen),7.37
12 (5),"Kenya (British Empire, Kenya Colony → Kenya)",7.36
13,Ethiopia,7.35
14 (6),"Angola (Portuguese Empire, Portuguese Angola → Angola)",7.34
15 (7),Saint Vincent and the Grenadines (British Empire → Saint Vincent and the Grenadines),7.33
16 (8),"Madagascar (French Colonial Empire, French Madagascar → Madagascar)",7.30
17 (9),"Tonga (British Empire, British Protectorate → Tonga)",7.30
18 (10),"Algeria (French Colonial Empire, French Algeria → Algeria)",7.29
19 (11),"Niger (French Colonial Empire, French Niger → Niger)",7.26
20 (12),"Somalia (British Empire, British Somaliland and Trust Territory of Somaliland → Somalia)",7.25
21,Oman,7.25
22 (13),"Kuwait (British Empire, British Protectorate → Kuwait)",7.22
23,Saudi Arabia,7.20
24 (14),Micronesia (Trust Territory of the Pacific Islands → Micronesia),7.20
25,Syria,7.18
26,Guatemala,7.15
27,Libya,7.10
28 (15),"Qatar (British Empire, British Protectorate → Qatar)",6.97
29 (16),Bahrain (British Empire → Bahrain),6.97
30 (17),"Mozambique (Portuguese Empire, Portuguese Mozambique → Mozambique)",6.97
31 (18),"Mali (French Colonial Empire, French West Africa, French Sudan → Mali)",6.96
32,Peru,6.95
33 (19),"Cambodia (French Colonial Empire, French Indochina, French Cambodia → Cambodia)",6.95
34 (20),"United Arab Emirates (British Empire, Trucial States → United Arab Emirates)",6.94
35,Bolivia,6.93
36,Iran,6.92
37 (21),Eritrea ( Ethiopia → Eritrea),6.92
38,Republic of China (Taiwan),6.90
39 (22),Uganda (British Empire → Uganda),6.89
40,Nicaragua,6.88
41 (23),"Brunei (British Empire, British Protectorate → Brunei)",6.86
42 (24),"Malawi (British Empire, Federation of Rhodesia and Nyasaland, Nyasaland Protectorate → Malawi)",6.84
43 (25),"Burundi (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories → Burundi)",6.82
44 (26),"Senegal (French Colonial Empire, French West Africa, French Senegal → Senegal)",6.79
45,Colombia,6.77
46 (27),"Southern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland → Zimbabwe)",6.75
47,Turkey,6.74
48,Mexico,6.72
49,Ecuador,6.72
50,Egypt,6.72
51 (28),Swaziland (British Empire → Swaziland),6.71
52 (29),"Tanzania (British Empire, Tanganyika and Zanzibar → Tanzania)",6.70
53,Belize,6.69
54 (30),"Sudan (British Empire, Anglo-Egyptian Sudan → Sudan)",6.68
55,Bhutan,6.67
56,China,6.67
