Rank,Country,Fertility rate in 2022 (births/woman)
1,Niger,6.7
2,Somalia,6.3
3,Chad,6.2
4,DR Congo,6.2
5,Mali,6.0
6,Central African Republic,6.0
7,Angola,5.3
8,Mauritania,5.2
9,Burundi,5.1
10,Nigeria,5.1
11,Benin,4.9
12,Burkina Faso,4.7
13,Tanzania,4.7
14,Gambia,4.7
15,Samoa,4.7
16,Uganda,4.6
17,Mozambique,4.6
18,Afghanistan,4.6
19,Cameroon,4.5
20,South Sudan,4.5
21,Sudan,4.5
22,Senegal,4.4
23,Ivory Coast,4.4
24,Guinea,4.4
25 (1),Mayotte (France),4.4
26,Madagascar,4.3
27,Equatorial Guinea,4.3
28,Togo,4.3
29,Zambia,4.2
30,Congo,4.2
31,Ethiopia,4.2
32,Liberia,4.1
33,Guinea-Bissau,4.0
34,Comoros,4.0
35,Solomon Islands,4.0
36,Sierra Leone,3.9
37,Eritrea,3.9
38,Malawi,3.9
39,Rwanda,3.8
40,São Tomé and Príncipe,3.8
41,Vanuatu,3.7
42,Palestine (Gaza Strip and West Bank),3.7
43,Yemen,3.7
44,Ghana,3.6
45,Nauru,3.5
46,Zimbabwe,3.5
47,Gabon,3.5
48,Pakistan,3.5
49 (2),French Guiana (France),3.5
50,Iraq,3.5
51,Kenya,3.3
52,Kiribati,3.3
53,Namibia,3.3
54,Tuvalu,3.3
55,Kazakhstan,3.3
56,Papua New Guinea,3.2
57,Tajikistan,3.2
58,Tonga,3.2
59,East Timor,3.1
60,Israel,3.0
61,Kyrgyzstan,3.0
62,Lesotho,3.0
63,Micronesia,2.9
64,Algeria,2.9
65,Uzbekistan,2.9
66,Mongolia,2.8
67,Haiti,2.8
68 (3),Guam (US),2.8
69,Djibouti,2.8
70,Botswana,2.8
71,Eswatini (Swaziland),2.8
72,Turkmenistan,2.7
73,Syria,2.7
74,Oman,2.7
75,Philippines,2.7
76,Cambodia,2.7
77,Bolivia,2.6
78,Fiji,2.5
79,Egypt,2.5
80,Laos,2.5
81,Paraguay,2.5
82 (4),Réunion (France),2.5
83,Seychelles,2.5
84,Jordan,2.4
85,Guatemala,2.4
86,Honduras,2.4
87,Guyana,2.4
88,South Africa,2.4
89,Libya,2.4
90,Palau,2.4
91,Saudi Arabia,2.4
92,Western Sahara,2.3
93,Dominican Republic,2.3
,World,2.3
94,Nicaragua,2.2
95,Myanmar (Burma),2.2
96,Venezuela,2.2
97,Peru,2.2
98,Suriname,2.2
99,Indonesia,2.2
100,Vietnam,2.2
101 (6),Guadeloupe (France),2.1
102,Morocco,2.1
103,India,2.1
104,Tunisia,2.1
105,Lebanon,2.1
106,Kosovo,2.1
107,Monaco,2.1
,Population Replacement,2.1
108,Ecuador,2.0
109,Panama,2.0
110,Bangladesh,2.0
111,Kuwait,2.0
112,Grenada,2.0
113,Nepal,2.0
114,Colombia,2.0
115,Georgia,2.0
116 (5),New Caledonia (France),2.0
117,Argentina,1.9
118,Belize,1.9
119 (8),Martinique (France),1.9
120,Saint Vincent and the Grenadines,1.9
121,Cape Verde,1.8
122,El Salvador,1.8
123,Mexico,1.8
124,North Korea,1.8
125,Bahrain,1.8
126,Brunei,1.8
127,France,1.8
128,Qatar,1.8
129,Czech Republic,1.8
130,Iceland,1.8
131,Ireland,1.8
132,Maldives,1.7
133,Iran,1.7
134,Turkey,1.7
135,Azerbaijan,1.7
136 (7),French Polynesia (France),1.7
137,Malaysia,1.7
138,Montenegro,1.7
139,Sri Lanka,1.7
140,Denmark,1.7
141,Sweden,1.7
142,Armenia,1.7
143,Australia,1.7
144,United States,1.7
145,Moldova,1.7
146,Antigua and Barbuda,1.6
147,Dominica,1.6
148,Brazil,1.6
149,Belgium,1.6
150,Bulgaria,1.6
151,Netherlands,1.6
152,New Zealand,1.6
153,Slovakia,1.6
154,Slovenia,1.6
155,United Kingdom,1.6
156,Germany,1.6
157,Latvia,1.6
158,Norway,1.6
159,Trinidad and Tobago,1.6
160,Bhutan,1.5
161,Saint Kitts and Nevis,1.5
162,Cuba,1.5
163,Estonia,1.5
164,Hungary,1.5
165,Uruguay,1.5
166,Channel Islands – (10) Guernsey (UK) and (11) Jersey (UK),1.5
167,Croatia,1.5
168,Liechtenstein,1.5
169,Russia,1.5
170,Serbia,1.5
171,Switzerland,1.5
172,Austria,1.5
173,Finland,1.5
174,Thailand,1.5
175,United Arab Emirates,1.5
176,Romania,1.5
-,European Union,1.5
177,Bahamas,1.4
178,Jamaica,1.4
179,Chile,1.4
180 (9),Curaçao (Netherlands),1.4
181,Canada,1.4
182,Mauritius,1.4
183,Belarus,1.4
184,Lithuania,1.4
