Country,Gini,Year
Country,,
Australia,0.318,2020.0
Austria,0.274,2019.0
Belgium,0.262,2019.0
Canada,0.28,2020.0
Chile,0.46,2017.0
Costa Rica,0.487,2021.0
Czech Republic,0.248,2019.0
Denmark,0.268,2019.0
Estonia,0.305,2019.0
Finland,0.265,2020.0
France,0.292,2019.0
Germany,0.296,2019.0
Greece,0.308,2019.0
Hungary,0.286,2019.0
Iceland,0.25,2017.0
Ireland,0.292,2018.0
Israel,0.342,2019.0
Italy,0.33,2018.0
Japan,0.334,2018.0
Latvia,0.355,2020.0
Lithuania,0.357,2019.0
Luxembourg,0.305,2019.0
Mexico,0.42,2020.0
Netherlands,0.304,2020.0
New Zealand,0.32,2020.0
Norway,0.263,2020.0
Poland,0.281,2018.0
Portugal,0.31,2019.0
Slovakia,0.222,2019.0
Slovenia,0.246,2019.0
South Korea,0.331,2020.0
Spain,0.32,2019.0
Sweden,0.276,2020.0
Switzerland,0.316,2019.0
Turkey,0.415,2019.0
United Kingdom,0.355,2020.0
United States,0.375,2021.0
